BusinessEntityID,Title,FirstName,MiddleName,LastName,PhoneNumber,PhoneNumberType,EmailAddress,AddressType,Address,City,StateProvinceName,PostalCode,CountryRegionName
24288,Mr.,Mikael,,Sandberg,854-555-0100,Cell,mikael1@adventure-works.com,Home,Roßstr 6642,Solingen,Nordrhein-Westfalen,42651,Germany
14447,Ms.,Mary,R.,Sandidge,113-555-0100,Cell,mary9@adventure-works.com,Home,9390 Janin Pl.,Milsons Point,New South Wales,2061,Australia
25516,Mr.,Patrick,,Sands,153-555-0100,Cell,patrick4@adventure-works.com,Home,9788 Thors Bay Road,Matraville,New South Wales,2036,Australia
16857,Sr.,José,E,Saraiva,356-555-0100,Cell,josé5@adventure-works.com,Home,Roßstr 7752,München,Hessen,80074,Germany
14278,Mr.,Lloyd,M.,Saunders,535-555-0100,Home,lloyd0@adventure-works.com,Home,1  rue de l´Avenir,Chatou,Yveline,78400,France
25685,Mr.,Vadim,,Sazanovich,958-555-0100,Home,vadim0@adventure-works.com,Home,8531 Bayter Court,W. York,England,BD1 4SJ,United Kingdom
15506,Mr.,K.,,Saravan,156-555-0100,Home,k0@adventure-works.com,Home,3272 Ryan Court,London,England,SW1P 2NU,United Kingdom
13096,Mr.,Gary,,Schare,157-555-0100,Cell,gary4@adventure-works.com,Home,Kulmer Straße 36,Braunschweig,Nordrhein-Westfalen,38001,Germany
26867,Ms.,Yvonne,,Schleger,155-555-0100,Home,yvonne2@adventure-works.com,Home,Charlottenstr 3918,Essen,Hamburg,45001,Germany
24334,Mr.,Steve,,Schmidt,988-555-0100,Cell,steve3@adventure-works.com,Home,6126 North Sixth Street,Rockhampton,Queensland,4700,Australia
15629,Mr.,Scot,,Schulte,910-555-0100,Cell,scot1@adventure-works.com,Home,5473 Olive Hill,Matraville,New South Wales,2036,Australia
13986,Ms.,Barbara,R.,Schultz,558-555-0100,Home,barbara7@adventure-works.com,Home,6321 Laguna Street,Silverwater,New South Wales,2264,Australia
25393,Mr.,Mike,,Seamans,210-555-0100,Home,mike5@adventure-works.com,Home,4678 Cardinal Dr.,Beverly Hills,California,90210,United States
25808,Mr.,Scott,,Seely,209-555-0100,Home,scott11@adventure-works.com,Home,Berliner Platz 774,München,Hamburg,80074,Germany
28310,Ms.,Birgit,,Seidel,492-555-0100,Cell,birgit0@adventure-works.com,Home,543 Northwood Drive,Bendigo,Victoria,3550,Australia
16903,Mr.,Steven,,Selikoff,861-555-0100,Cell,steven3@adventure-works.com,Home,8384 Golden Rain Road,Burien,Washington,98168,United States
20235,Ms.,Alice,J.,Serventi,116-555-0100,Home,alice3@adventure-works.com,Home,103  avenue des Champs-Elysées,Paris La Defense,Hauts de Seine,92081,France
13050,Mr.,Joshua,R.,Several,194-555-0100,Cell,joshua1@adventure-works.com,Home,3880 95th St.,Beaverton,Oregon,97005,United States
21171,Mr.,Paul,J.,Shakespear,880-555-0100,Home,paul4@adventure-works.com,Home,2368 Olivera Rd,Caloundra,Queensland,4551,Australia
18669,Mr.,Alan,,Shen,484-555-0100,Cell,alan3@adventure-works.com,Home,9826 Olive Ave.,Sydney,New South Wales,1002,Australia
28264,Mr.,David,B.,Shepard,192-555-0100,Home,david23@adventure-works.com,Home,570  avenue des Ternes,Roncq,Nord,59223,France
19605,Ms.,Janet,,Sheperdigian,943-555-0100,Cell,janet3@adventure-works.com,Home,9145 Paso Del Rio Way,Warrington,England,WA1,United Kingdom
22937,Ms.,Megan,,Sherman,361-555-0100,Home,megan2@adventure-works.com,Home,Wasserstr 64,Saarbrücken,Saarland,66001,Germany
11530,Ms.,Irma,J.,Sherwood,760-555-0100,Cell,irma0@adventure-works.com,Home,7323 Alan Drive,Hobart,Tasmania,7001,Australia
11284,Mr.,Daniel,,Shimshoni,151-555-0100,Home,daniel1@adventure-works.com,Home,5690 Morgan Territory Rd,London,England,SW8 4BG,United Kingdom
25854,Ms.,Misty,,Shock,185-555-0100,Home,misty0@adventure-works.com,Home,5959 C Olivera Rd,London,England,W1Y 3RA,United Kingdom
22691,Mr.,Carlos,M.,Short,187-555-0100,Cell,carlos0@adventure-works.com,Home,6853 Hacienda,Brisbane,Queensland,4000,Australia
15967,Mr.,Shish,,Shridhar,715-555-0100,Cell,shish0@adventure-works.com,Home,886 Panoramic Drive,Gateshead,England,GA10,United Kingdom
23873,Ms.,Britta,,Simon,274-555-0100,Cell,britta1@adventure-works.com,Home,6441 Co Road,Wollongong,New South Wales,2500,Australia
27328,Mr.,Marty,E.,Simpson,288-555-0100,Cell,marty0@adventure-works.com,Home,1937 Sycamore Drive,Bellingham,Washington,98225,United States
11238,Mr.,David,,Simpson,115-555-0100,Cell,david24@adventure-works.com,Home,3956 Stonedale,Beaverton,Oregon,97005,United States
17487,Ms.,Anne,R.,Sims,886-555-0100,Home,anne0@adventure-works.com,Home,4932 La Jolla,Stoke-on-Trent,England,AS23,United Kingdom
22645,Mr.,Mircea,Radu,Singer,575-555-0100,Cell,mircea0@adventure-works.com,Home,7  impasse Ste-Madeleine,Lille,Nord,59000,France
28556,Mr.,Paul,,Singh,390-555-0100,Cell,paul5@adventure-works.com,Home,371 Westwood Court,Burbank,Ohio,44214,United States
19651,Ms.,Bonnie,L.,Skelly,641-555-0100,Home,bonnie3@adventure-works.com,Home,6091 MountainAire Parkway,Burlingame,California,94010,United States
12466,Mr.,Anders,B,Skjønaa,685-555-0100,Home,anders0@adventure-works.com,Home,Alderstr 8139,Bonn,Hamburg,53131,Germany
18423,Ms.,Dianne,K.,Slattengren,204-555-0100,Cell,dianne0@adventure-works.com,Home,1574 Hudson Ave.,Maidenhead,England,SL67RJ,United Kingdom
21417,Ms.,Lanna,A.,Slaven,962-555-0100,Home,lanna0@adventure-works.com,Home,70  rue de Cambrai,Les Ulis,Essonne,91940,France
28848,Ms.,Cathy,J.,Sloan,756-555-0100,Home,cathy0@adventure-works.com,Home,Marketplatz 75,München,Hamburg,80074,Germany
19943,Mr.,Leonard,J.,Smith,128-555-0100,Cell,leonard0@adventure-works.com,Home,8483 Arizona Drive,Port Macquarie,New South Wales,2444,Australia
22353,Ms.,Mary,J.,Smith,941-555-0100,Cell,mary10@adventure-works.com,Home,4911 Peachwillow Lane,Milton Keynes,England,MK8 8DF,United Kingdom
20189,Ms.,Peggy,R.,Smith,153-555-0100,Home,peggy1@adventure-works.com,Home,28  rue Henri Gagnon,Croix,Nord,59170,France
18715,Mr.,Rolando,T.,Smith,284-555-0100,Cell,rolando0@adventure-works.com,Home,3771 Concerto Circle,Berkeley,California,94704,United States
21125,Mr.,Ben,,Adams,182-555-0100,Home,ben2@adventure-works.com,Home,1534 Land Ave,Bremerton,Washington,98312,United States
14739,Ms.,Denise,,Smith,326-555-0100,Cell,denise2@adventure-works.com,Home,44  rue Saint-Lazare,Roncq,Nord,59223,France
20312,Mr.,Jeff,,Smith,515-555-0100,Home,jeff4@adventure-works.com,Home,6992 Tara St.,Concord,California,94519,United States
23229,Ms.,Samantha,,Smith,978-555-0100,Cell,samantha1@adventure-works.com,Home,9021 Onley Dr,Cheltenham,England,GL50,United Kingdom
27972,Ms.,Lorrin,G.,Smith-Bates,129-555-0100,Home,lorrin0@adventure-works.com,Home,11  quai de l´ Iton,Pantin,Seine Saint Denis,93500,France
21878,Mr.,Timothy,,Sneath,385-555-0100,Home,timothy1@adventure-works.com,Home,3001 Hanson Lane,Gloucestershire,England,GL7 1RY,United Kingdom
20833,Ms.,Victoria,L.,Snowden,574-555-0100,Cell,victoria0@adventure-works.com,Home,8  rue de l´Avenir,Paris,Seine (Paris),75019,France
15214,Mr.,David,,So,349-555-0100,Cell,david25@adventure-works.com,Home,Marketplatz 5193,Bonn,Nordrhein-Westfalen,53131,Germany
29323,Mr.,Ajay,,Solanki,193-555-0100,Home,ajay1@adventure-works.com,Home,5486 Olivera Road,Brisbane,Queensland,4000,Australia
19007,,Alma,L.,Son,149-555-0100,Home,alma1@adventure-works.com,Home,Kurfürstenstr 4124,Werne,Nordrhein-Westfalen,59368,Germany
16780,Ms.,Lolan,,Song,504-555-0100,Home,lolan1@adventure-works.com,Home,1830 Shore Rd.,Warrington,England,WA1,United Kingdom
13863,Mr.,William,K.,Sotelo,819-555-0100,Home,william5@adventure-works.com,Home,5629 Seagull Court,Bremerton,Washington,98312,United States
25101,Sr.,Anibal,,Sousa,283-555-0100,Cell,anibal1@adventure-works.com,Home,Essener Straße 18,Bottrop,Nordrhein-Westfalen,46236,Germany
26100,Ms.,Sylvia,N.,Spencer,173-555-0100,Cell,sylvia1@adventure-works.com,Home,52  rue Malar,Saint Germain en Laye,Yveline,78100,France
23750,Mr.,Phil,,Spencer,161-555-0100,Cell,phil0@adventure-works.com,Home,9208 West Rd,South Melbourne,Victoria,3205,Australia
27451,,Warren,A,Tang,1 (11) 500 555-0118,Cell,warren0@adventure-works.com,Home,Marienplatz 50,Hof,Bayern,95010,Germany
16090,,Warren,S,Pal,1 (11) 500 555-0165,Home,warren1@adventure-works.com,Home,8  rue de l´Avenir,Drancy,Seine Saint Denis,93700,France
12389,,Kelvin,K,Xie,499-555-0116,Home,kelvin0@adventure-works.com,Home,2356 Shady Ln.,Burbank,California,91502,United States
25977,,Crystal,L,Cai,1 (11) 500 555-0189,Cell,crystal0@adventure-works.com,Home,76bis  boulevard du Montparnasse,Orly,Val de Marne,94310,France
11991,,Crystal,,Zeng,1 (11) 500 555-0184,Home,crystal1@adventure-works.com,Home,Auf Der Steige 6,Neunkirchen,Saarland,66578,Germany
28141,,Laura,M,Zhang,1 (11) 500 555-0149,Cell,laura7@adventure-works.com,Home,5  rue des Bouchers,Orleans,Loiret,45000,France
25224,,Laura,L,Wang,1 (11) 500 555-0134,Home,laura8@adventure-works.com,Home,4006 Sunny Ave.,Hervey Bay,Queensland,4655,Australia
23060,,Laura,C,Chen,1 (11) 500 555-0166,Cell,laura9@adventure-works.com,Home,Winter der Böck 254,Salzgitter,Hessen,38231,Germany
13740,,Laura,O,Li,1 (11) 500 555-0145,Cell,laura10@adventure-works.com,Home,9965 V. Street,Oxford,England,OX1,United Kingdom
15921,,Laura,,Liu,121-555-0179,Home,laura11@adventure-works.com,Home,5840 Delta Fair Blvd.,Colma,California,94014,United States
17962,,Laura,P,Huang,1 (11) 500 555-0129,Home,laura12@adventure-works.com,Home,Buergermeister-ulrich-str 90,Leipzig,Nordrhein-Westfalen,4139,Germany
24411,,Laura,,Wu,1 (11) 500 555-0188,Home,laura13@adventure-works.com,Home,4746 Clear Court,Matraville,New South Wales,2036,Australia
23919,,Francis,,Hernandez,1 (11) 500 555-0187,Cell,francis1@adventure-works.com,Home,3708 Montana,Cheltenham,England,GL50,United Kingdom
24626,,Laura,L,Lin,1 (11) 500 555-0151,Cell,laura14@adventure-works.com,Home,3378 Coldwater Drive,Matraville,New South Wales,2036,Australia
18085,,Laura,D,Zhou,1 (11) 500 555-0170,Home,laura15@adventure-works.com,Home,6463 Landover Ln,Hervey Bay,Queensland,4655,Australia
26790,,Laura,J,Ye,1 (11) 500 555-0196,Home,laura16@adventure-works.com,Home,Dunckerstr 55,Paderborn,Nordrhein-Westfalen,33098,Germany
14032,,Laura,T,Zhao,1 (11) 500 555-0198,Home,laura17@adventure-works.com,Home,8206 Green Valley Road,East Brisbane,Queensland,4169,Australia
11868,,Isabella,,Cox,377-555-0164,Home,isabella0@adventure-works.com,Home,4304 Dos Rios Drive,Ballard,Washington,98107,United States
16611,,Laura,D,Xu,1 (11) 500 555-0170,Cell,laura18@adventure-works.com,Home,8138 Golf Club Road,London,England,SW1P 2NU,United Kingdom
23352,,Isabella,J,Howard,125-555-0175,Home,isabella1@adventure-works.com,Home,673 Noah Court,Port Orchard,Washington,98366,United States
27849,,Laura,M,Zhu,1 (11) 500 555-0197,Cell,laura19@adventure-works.com,Home,9621 Alamo Court,High Wycombe,England,HP10 9QY,United Kingdom
15137,,Laura,,Gao,1 (11) 500 555-0148,Cell,laura20@adventure-works.com,Home,82 Mt. Dell Dr.,Silverwater,New South Wales,2264,Australia
24703,,Isabella,,Ward,1 (11) 500 555-0165,Cell,isabella2@adventure-works.com,Home,Zimmerstr 466,Saarlouis,Saarland,66740,Germany
26498,,Laura,L,Ma,1 (11) 500 555-0185,Cell,laura21@adventure-works.com,Home,6432 Maywood Ln.,Goulburn,New South Wales,2580,Australia
13342,,Francis,,Alvarez,1 (11) 500 555-0176,Cell,francis2@adventure-works.com,Home,5287 Race Road,Brisbane,Queensland,4000,Australia
12160,,Laura,,Liang,723-555-0141,Home,laura22@adventure-works.com,Home,6828 Benedict Court,Burlingame,California,94010,United States
13571,,Laura,S,Guo,239-555-0137,Home,laura23@adventure-works.com,Home,4787 R St.,Bellingham,Washington,98225,United States
16488,,Laura,W,He,1 (11) 500 555-0129,Cell,laura24@adventure-works.com,Home,Postfach 90 92 92,Hamburg,Hamburg,20354,Germany
28725,,Isabella,,Torres,905-555-0117,Cell,isabella3@adventure-works.com,Home,1955 Montgomery Ave,National City,California,91950,United States
22476,,Laura,,Zheng,1 (11) 500 555-0110,Cell,laura25@adventure-works.com,Home,4428 Jones Rd.,North Ryde,New South Wales,2113,Australia
20710,,Laura,,Hu,402-555-0192,Home,laura26@adventure-works.com,Home,8502 Diver Way,Chula Vista,California,91910,United States
12681,,Laura,L,Cai,1 (11) 500 555-0163,Cell,laura27@adventure-works.com,Home,8  rue des Vendangeurs,Paris,Seine (Paris),75012,France
16382,,Isabella,,Peterson,182-555-0156,Home,isabella4@adventure-works.com,Home,6868 Firestone,Victoria,British Columbia,V8V,Canada
27159,,Lisa,J,Wang,1 (11) 500 555-0152,Cell,lisa4@adventure-works.com,Home,2530 Seeno St,Wokingham,England,RG41 1QW,United Kingdom
24042,,Isabella,,Gray,438-555-0150,Cell,isabella5@adventure-works.com,Home,6400 St. John Lane,Port Hammond,British Columbia,V6B 3P7,Canada
14616,,Lisa,S,Chen,1 (11) 500 555-0130,Home,lisa5@adventure-works.com,Home,109  avenue des Ternes,Les Ulis,Essonne,91940,France
11699,,Francis,,Jimenez,1 (11) 500 555-0143,Cell,francis3@adventure-works.com,Home,Curieweg 3991,Bonn,Nordrhein-Westfalen,53131,Germany
24932,,Lisa,J,Li,1 (11) 500 555-0189,Cell,lisa6@adventure-works.com,Home,3852 Northridge Dr.,Geelong,Victoria,3220,Australia
26269,,Lisa,J,Liu,153-555-0188,Cell,lisa7@adventure-works.com,Home,4310 Chickpea Ct.,Burbank,California,91502,United States
20604,,Lisa,,Yang,986-555-0135,Cell,lisa8@adventure-works.com,Home,7549 Longview Rd.,Beverly Hills,California,90210,United States
18254,,Lisa,L,Huang,1 (11) 500 555-0168,Home,lisa9@adventure-works.com,Home,9762 Alvecedo,North Ryde,New South Wales,2113,Australia
21586,,Lisa,,Wu,1 (11) 500 555-0127,Cell,lisa10@adventure-works.com,Home,8426 Easley Dr.,Melton,Victoria,3337,Australia
14908,,Lisa,A,Lin,1 (11) 500 555-0136,Cell,lisa11@adventure-works.com,Home,4893 Crane Court,Runcorn,England,TY31,United Kingdom
29309,,Lisa,L,Zhou,1 (11) 500 555-0153,Home,lisa12@adventure-works.com,Home,9739 Benedict Court,Milton Keynes,England,MK8 8DF,United Kingdom
17072,,Lisa,L,Ye,1 (11) 500 555-0112,Cell,lisa13@adventure-works.com,Home,Carlsplatz 45,Ingolstadt,Bayern,85049,Germany
19236,,Lisa,C,Zhao,432-555-0153,Home,lisa14@adventure-works.com,Home,491 Cali,Burlingame,California,94010,United States
21294,,Lisa,S,Lu,1 (11) 500 555-0196,Home,lisa15@adventure-works.com,Home,70  rue Georges-Clémenceau,Roissy en Brie,Seine et Marne,77680,France
19130,,Francis,A,Moreno,1 (11) 500 555-0114,Home,francis4@adventure-works.com,Home,8634 Lake Meadow Circle,Runcorn,England,TY31,United Kingdom
12097,,Lisa,,Xu,1 (11) 500 555-0111,Home,lisa16@adventure-works.com,Home,Höhenstr 7477,München,Hamburg,80074,Germany
23458,,Lisa,R,Zhu,1 (11) 500 555-0175,Cell,lisa17@adventure-works.com,Home,3359 Northwood Dr,Woolston,England,WA1 4SY,United Kingdom
27743,,Lisa,A,Gao,1 (11) 500 555-0166,Home,lisa18@adventure-works.com,Home,3326 Icicle Ct.,North Sydney,New South Wales,2055,Australia
29017,,Lisa,C,Ma,1 (11) 500 555-0160,Cell,lisa19@adventure-works.com,Home,Auf den Kuhlen Straße 2,Hamburg,Hamburg,20354,Germany
11115,,Lisa,,Liang,644-555-0144,Cell,lisa20@adventure-works.com,Home,639 Bird Drive,Burlingame,California,94010,United States
19528,,Lisa,S,Guo,1 (11) 500 555-0133,Cell,lisa21@adventure-works.com,Home,7464 Mozden Lane,Wollongong,New South Wales,2500,Australia
17856,,Lisa,R,Zheng,1 (11) 500 555-0198,Home,lisa22@adventure-works.com,Home,8360 Frisbie Court,Newcastle upon Tyne,England,NT20,United Kingdom
20020,,Lisa,L,Hu,1 (11) 500 555-0164,Cell,lisa23@adventure-works.com,Home,7489 Relief Valley Ct,Kirkby,England,KB9,United Kingdom
21002,,Lisa,,Cai,1 (11) 500 555-0125,Home,lisa24@adventure-works.com,Home,102  rue de Berri,Les Ulis,Essonne,91940,France
18838,,Lisa,R,Zeng,1 (11) 500 555-0179,Cell,lisa25@adventure-works.com,Home,Midi-Couleurs,Courbevoie,Hauts de Seine,92400,France
26561,,Jamie,M,Zhang,238-555-0175,Cell,jamie2@adventure-works.com,Home,267 Aspen Drive,Burlingame,California,94010,United States
12237,,Jamie,,Wagner,1 (11) 500 555-0134,Home,jamie3@adventure-works.com,Home,4  rue de la Comédie,Dunkerque,Nord,59140,France
19067,,Jamie,,Chow,1 (11) 500 555-0112,Home,jamie4@adventure-works.com,Home,9759 Dover Way,Peterborough,England,PB12,United Kingdom
27557,,Jamie,,Li,1 (11) 500 555-0188,Cell,jamie5@adventure-works.com,Home,Heideweg 1459,Essen,Hamburg,45001,Germany
15154,,Jamie,J,Liu,1 (11) 500 555-0176,Home,jamie6@adventure-works.com,Home,7041 Notre Dame Avenue,Cambridge,England,CB4 4BZ,United Kingdom
18071,,Jamie,S,Yang,1 (11) 500 555-0124,Cell,jamie7@adventure-works.com,Home,2111 Freedom Court,Sunbury,Victoria,3429,Australia
16150,,Jamie,,Huang,410-555-0145,Cell,jamie8@adventure-works.com,Home,312 Via Del Verdes,Colma,California,94014,United States
14845,,Jamie,S,Wu,1 (11) 500 555-0143,Cell,jamie9@adventure-works.com,Home,5435 Jacobsen Street,Malabar,New South Wales,2036,Australia
23335,,Francis,J,Alonso,1 (11) 500 555-0150,Home,francis5@adventure-works.com,Home,2062 Woodruff Lane,Peterborough,England,PB12,United Kingdom
19376,,Jamie,,Lin,1 (11) 500 555-0152,Cell,jamie10@adventure-works.com,Home,910  place de la Concorde,Les Ulis,Essonne,91940,France
26206,,Jamie,,Zhou,1 (11) 500 555-0169,Home,jamie11@adventure-works.com,Home,2192 Pacifica Ave,Cloverdale,South Australia,6105,Australia
12452,,Jamie,C,Ye,1 (11) 500 555-0165,Home,jamie12@adventure-works.com,Home,2423 Brookview Dr.,London,England,SE1 8HL,United Kingdom
29432,,Jamie,,Zhao,1 (11) 500 555-0177,Home,jamie13@adventure-works.com,Home,9761 Fox Way,Townsville,Queensland,4810,Australia
13448,,Jamie,M,Lu,1 (11) 500 555-0111,Home,jamie14@adventure-works.com,Home,2807 Charlotte Court,Rockhampton,Queensland,4700,Australia
26515,,Isabella,R,James,527-555-0196,Home,isabella6@adventure-works.com,Home,1354 Catnip Court,Tacoma,Washington,98403,United States
20418,,Jamie,D,Xu,1 (11) 500 555-0129,Home,jamie15@adventure-works.com,Home,Bundesallee 44,Frankfurt am Main,Hamburg,60082,Germany
26037,,Jamie,,Sun,1 (11) 500 555-0117,Home,jamie16@adventure-works.com,Home,2665 B Wildbrook Ct,Warrnambool,Victoria,3280,Australia
25041,,Jamie,J,Zhu,1 (11) 500 555-0115,Home,jamie17@adventure-works.com,Home,4556 Rolling Green Circle,Findon,South Australia,5023,Australia
27726,,Jamie,,Gao,1 (11) 500 555-0187,Home,jamie18@adventure-works.com,Home,5957 Pacifica Ave.,East Brisbane,Queensland,4169,Australia
18898,,Isabella,,West,933-555-0122,Cell,isabella7@adventure-works.com,Home,9431 College Blvd,Puyallup,Washington,98371,United States
14985,,Jamie,P,Ma,1 (11) 500 555-0142,Home,jamie19@adventure-works.com,Home,Alderweg 4518,Braunschweig,Nordrhein-Westfalen,38001,Germany
16319,,Francis,,Romero,1 (11) 500 555-0141,Cell,francis6@adventure-works.com,Home,1240 Dayton Court,Townsville,Queensland,4810,Australia
23813,,Jamie,E,Liang,138-555-0111,Cell,jamie20@adventure-works.com,Home,3213 Glenside Dr,Beverly Hills,California,90210,United States
12406,,Isabella,,Brooks,421-555-0139,Home,isabella8@adventure-works.com,Home,9471 Shell Dr.,Bremerton,Washington,98312,United States
26083,,Jamie,,Guo,1 (11) 500 555-0135,Home,jamie21@adventure-works.com,Home,5636 Barcelona,Cranbourne,Victoria,3977,Australia
22462,,Jamie,,Harrison,200-555-0168,Home,jamie22@adventure-works.com,Home,7046 Slow Creek Road,Colma,California,94014,United States
28954,,Isabella,,Kelly,471-555-0148,Home,isabella9@adventure-works.com,Home,1706 Valley Blvd.,Palo Alto,California,94303,United States
22124,,Isabella,D,Sandberg,499-555-0176,Home,isabella10@adventure-works.com,Home,2000 Thornwood Dr.,Portland,Oregon,97205,United States
16196,,Jamie,L,Zheng,1 (11) 500 555-0118,Cell,jamie23@adventure-works.com,Home,2104 Grading Way,Brisbane,Queensland,4000,Australia
27680,,Jamie,C,Hu,1 (11) 500 555-0110,Home,jamie24@adventure-works.com,Home,3022 Adobe St,Milsons Point,New South Wales,2061,Australia
23767,,Jamie,S,Cai,1 (11) 500 555-0169,Home,jamie25@adventure-works.com,Home,2256 Regency Dr.,Cheltenham,England,GL50,United Kingdom
17670,,Jamie,L,Zeng,664-555-0191,Cell,jamie26@adventure-works.com,Home,5339 Cashew Street,Burlingame,California,94010,United States
22293,,Erica,J,Zhang,461-555-0127,Cell,erica0@adventure-works.com,Home,6270 North Star Dr.,Concord,California,94519,United States
28785,,Erica,J,Wang,1 (11) 500 555-0132,Home,erica1@adventure-works.com,Home,5648 Roland Ct.,Wollongong,New South Wales,2500,Australia
29031,,Isabella,L,Price,1 (11) 500 555-0147,Cell,isabella11@adventure-works.com,Home,3241 West Slough Rd.,Port Macquarie,New South Wales,2444,Australia
13465,,Erica,P,Chen,1 (11) 500 555-0158,Cell,erica2@adventure-works.com,Home,793 Crawford Street,South Melbourne,Victoria,3205,Australia
17733,,Francis,J,Navarro,1 (11) 500 555-0111,Home,francis7@adventure-works.com,Home,1289 Pine St,Perth,South Australia,6006,Australia
12575,,Erica,A,Liu,1 (11) 500 555-0112,Cell,erica3@adventure-works.com,Home,3691 Macaroon Drive,Townsville,Queensland,4810,Australia
24563,,Erica,,Yang,1 (11) 500 555-0138,Cell,erica4@adventure-works.com,Home,Auf Der Steige 2,Frankfurt am Main,Hamburg,60082,Germany
21065,,Erica,C,Huang,618-555-0157,Cell,erica5@adventure-works.com,Home,9142 All Ways Drive,Colma,California,94014,United States
22061,,Erica,,Wu,1 (11) 500 555-0129,Home,erica6@adventure-works.com,Home,11802  rue Surcouf,Colombes,Hauts de Seine,92700,France
